Series_Title,Released_Year,Budget_USD_TMDb,Budget_Wikidata,Currency_Wikidata
Batman: Mask of the Phantasm,1993.0,6000000.0,,
Lat sau san taam,1992.0,4500000.0,,
Night on Earth,1991.0,3500000.0,,
La double vie de Véronique,1991.0,,,
Boyz n the Hood,1991.0,6500000.0,,
Misery,1990.0,20000000.0,,
Awakenings,1990.0,31000000.0,,
Majo no takkyûbin,1989.0,,,
Glory,1989.0,18000000.0,,
Dip huet seung hung,1989.0,,,
Back to the Future Part II,1989.0,40000000.0,,
Mississippi Burning,1988.0,15000000.0,,
Predator,1987.0,15000000.0,,
Evil Dead II,1987.0,3500000.0,,
Ferris Bueller's Day Off,1986.0,6000000.0,,
Down by Law,1986.0,1100000.0,,
The Goonies,1985.0,19000000.0,,
The Color Purple,1985.0,15000000.0,,
The Breakfast Club,1985.0,1000000.0,,
The Killing Fields,1984.0,14400000.0,,
Ghostbusters,1984.0,144000000.0,,
The Right Stuff,1983.0,27000000.0,,
The King of Comedy,1982.0,19000000.0,,
E.T. the Extra-Terrestrial,1982.0,10500000.0,,
Kramer vs. Kramer,1979.0,8000000.0,,
Days of Heaven,1978.0,3000000.0,,
The Outlaw Josey Wales,1976.0,3700000.0,,
The Man Who Would Be King,1975.0,8000000.0,,
The Conversation,1974.0,1600000.0,,
La planète sauvage,1973.0,,,
The Day of the Jackal,1973.0,,,
Badlands,1973.0,300000.0,,
Cabaret,1972.0,,,
Willy Wonka & the Chocolate Factory,1971.0,,,
Midnight Cowboy,1969.0,3600000.0,,
Wait Until Dark,1967.0,4000000.0,,
Guess Who's Coming to Dinner,1967.0,4000000.0,,
Bonnie and Clyde,1967.0,,,
My Fair Lady,1964.0,17000000.0,,
Mary Poppins,1964.0,4650000.0,,
The Longest Day,1962.0,10000000.0,,
Jules et Jim,1962.0,,,
The Innocents,1961.0,430000.0,,
À bout de souffle,1960.0,,,
Red River,1948.0,2000.0,,
Key Largo,1948.0,,,
To Have and Have Not,1944.0,,,
Shadow of a Doubt,1943.0,,,
Stagecoach,1939.0,,,
The Lady Vanishes,1938.0,,,
Bringing Up Baby,1938.0,1073000.0,,
Bride of Frankenstein,1935.0,393750.0,,
Duck Soup,1933.0,,,
Scarface: The Shame of the Nation,1932.0,800000.0,,
Frankenstein,1931.0,,,
Roma,2018.0,15000000.0,,
God's Own Country,2017.0,,,
Deadpool 2,2018.0,110000000.0,,
Wind River,2017.0,11000000.0,,
Get Out,2017.0,4500000.0,,
Mission: Impossible - Fallout,2018.0,178000000.0,,
En man som heter Ove,2015.0,,,
What We Do in the Shadows,2014.0,1600000.0,,
Omoide no Mânî,2014.0,,,
The Theory of Everything,2014.0,15000000.0,,
Kingsman: The Secret Service,2014.0,81000000.0,,
The Fault in Our Stars,2014.0,14000000.0,,
Me and Earl and the Dying Girl,2015.0,,,
Birdman or,2014.0,18000000.0,,
La vie d'Adèle,2013.0,4300000.0,,
Kai po che!,2013.0,,,
The Broken Circle Breakdown,2012.0,,,
Captain America: The Winter Soldier,2014.0,170000000.0,,
Rockstar,2011.0,10920000.0,,
Nebraska,2013.0,12000000.0,,
Wreck-It Ralph,2012.0,165000000.0,,
Le Petit Prince,2015.0,,,
Detachment,2011.0,,,
Midnight in Paris,2011.0,17000000.0,,
The Lego Movie,2014.0,60000000.0,,
Gravity,2013.0,105000000.0,,
Star Trek Into Darkness,2013.0,190000000.0,,
Beasts of No Nation,2015.0,6000000.0,,
The Social Network,2010.0,40000000.0,,
X: First Class,2011.0,,,
The Hangover,2009.0,35000000.0,,
Skyfall,2012.0,200000000.0,,
Silver Linings Playbook,2012.0,21000000.0,,
Argo,2012.0,44500000.0,,
Days of Summer,2009.0,7500000.0,,
Harry Potter and the Deathly Hallows: Part 1,2010.0,250000000.0,,
Gake no ue no Ponyo,2008.0,34000000.0,,
Frost/Nixon,2008.0,25000000.0,,
Papurika,2006.0,,,
Changeling,2008.0,55000000.0,,
Flipped,2010.0,14000000.0,,
Toki o kakeru shôjo,2006.0,,,
Death Note: Desu nôto,2006.0,20000000.0,,
This Is England,2006.0,2380000.0,,
Ex Machina,2014.0,15000000.0,,
Efter brylluppet,2006.0,,,
The Last King of Scotland,2006.0,6000000.0,,
Zodiac,2007.0,65000000.0,,
Lucky Number Slevin,2006.0,27000000.0,,
Joyeux Noël,2005.0,22000000.0,,
Control,2007.0,5000000.0,,
Tangled,2010.0,260000000.0,,
Zwartboek,2006.0,21000000.0,,
Brokeback Mountain,2005.0,14000000.0,,
3:10 to Yuma,2007.0,55000000.0,,
Crash,2004.0,9000000.0,,
Kung fu,2004.0,,,
The Bourne Supremacy,2004.0,75000000.0,,
The Machinist,2004.0,5000000.0,,
Ray,2004.0,40000000.0,,
Lost in Translation,2003.0,4000000.0,,
Harry Potter and the Goblet of Fire,2005.0,150000000.0,,
Man on Fire,2004.0,70000000.0,,
Coraline,2009.0,60000000.0,,
The Last Samurai,2003.0,140000000.0,,
The Magdalene Sisters,2002.0,5000000.0,,
Good Bye Lenin!,2003.0,4800000.0,,
In America,2002.0,,,
I Am Sam,2001.0,22000000.0,,
Adaptation.,2002.0,19000000.0,,
Black Hawk Down,2001.0,92000000.0,,
Road to Perdition,2002.0,80000000.0,,
Das Experiment,2001.0,,,
Billy Elliot,2000.0,5000000.0,,
Hedwig and the Angry Inch,2001.0,6000000.0,,
Ocean's Eleven,2001.0,85000000.0,,
Vampire Hunter D: Bloodlust,2000.0,,,
"O Brother, Where Art Thou?",2000.0,26000000.0,,
Interstate 60: Episodes of the Road,2002.0,7000000.0,,
"South Park: Bigger, Longer & Uncut",1999.0,21000000.0,,
Office Space,1999.0,10000000.0,,
Happiness,1998.0,3000000.0,,
Training Day,2001.0,45000000.0,,
Rushmore,1998.0,9000000.0,,
Abre los ojos,1997.0,2900000.0,,
Being John Malkovich,1999.0,13000000.0,,
As Good as It Gets,1997.0,50000000.0,,
The Fifth Element,1997.0,90000000.0,,
Le dîner de cons,1998.0,12500000.0,,
Donnie Brasco,1997.0,35000000.0,,
Shine,1996.0,5500000.0,,
Primal Fear,1996.0,30000000.0,,
Hamlet,1996.0,,,
A Little Princess,1995.0,17000000.0,,
Do lok tin si,1995.0,,,
Il postino,1994.0,3000000.0,,
Clerks,1994.0,27575.0,,
Short Cuts,1993.0,12000000.0,,
Philadelphia,1993.0,26000000.0,,
The Muppet Christmas Carol,1992.0,12000000.0,,
Malcolm X,1992.0,34000000.0,,
The Last of the Mohicans,1992.0,40000000.0,,
Kurenai no buta,1992.0,9200000.0,,
Glengarry Glen Ross,1992.0,12500000.0,,
A Few Good Men,1992.0,40000000.0,,
Fried Green Tomatoes,1991.0,11000000.0,,
Barton Fink,1991.0,9000000.0,,
Miller's Crossing,1990.0,14000000.0,,
Who Framed Roger Rabbit,1988.0,70000000.0,,
Spoorloos,1988.0,,,
Withnail & I,1987.0,,,
The Last Emperor,1987.0,23800000.0,,
Empire of the Sun,1987.0,35000000.0,,
Der Name der Rose,1986.0,,,
Blue Velvet,1986.0,6000000.0,,
The Purple Rose of Cairo,1985.0,15000000.0,,
After Hours,1985.0,,,
Zelig,1983.0,13500000.0,,
The Verdict,1982.0,,,
Star Trek II: The Wrath of Khan,1982.0,12000000.0,,
First Blood,1982.0,15000000.0,,
Ordinary People,1980.0,,,
Airplane!,1980.0,3500000.0,,
Rupan sansei: Kariosutoro no shiro,1979.0,7202188.0,,
Halloween,1978.0,325000.0,,
Le locataire,1976.0,,,
Love and Death,1975.0,,,
The Taking of Pelham One Two Three,1974.0,,,
Blazing Saddles,1974.0,2600000.0,,
Serpico,1973.0,3000000.0,,
Enter the Dragon,1973.0,850000.0,,
Deliverance,1972.0,2000000.0,,
The French Connection,1971.0,1800000.0,,
Dirty Harry,1971.0,4000000.0,,
Where Eagles Dare,1968.0,7700000.0,,
The Odd Couple,1968.0,,,
The Dirty Dozen,1967.0,,,
Belle de jour,1967.0,,,
A Man for All Seasons,1966.0,,,
Repulsion,1965.0,300000.0,,
Zulu,1964.0,1720000.0,,
Goldfinger,1964.0,3000000.0,,
The Birds,1963.0,2500000.0,,
Cape Fear,1962.0,35000000.0,,
Peeping Tom,1960.0,,,
The Magnificent Seven,1960.0,90000000.0,,
Les yeux sans visage,1960.0,,,
Invasion of the Body Snatchers,1956.0,3500000.0,,
Rebel Without a Cause,1955.0,1500000.0,,
The Ladykillers,1955.0,35000000.0,,
Sabrina,1954.0,,,
The Quiet Man,1952.0,1750000.0,,
The Day the Earth Stood Still,1951.0,,,
The African Queen,1951.0,1000000.0,,
Gilda,1946.0,,,
Fantasia,1940.0,2280000.0,,
The Invisible Man,1933.0,7000000.0,,
Dark Waters,2019.0,,,
Searching,2018.0,1000000.0,,
Once Upon a Time... in Hollywood,2019.0,95000000.0,,
Nelyubov,2017.0,,,
The Florida Project,2017.0,2000000.0,,
Just Mercy,2019.0,25000000.0,,
Gifted,2017.0,7000000.0,,
The Peanut Butter Falcon,2019.0,6200000.0,,
Victoria,2015.0,,,
Mustang,2015.0,57500.0,,
Guardians of the Galaxy Vol. 2,2017.0,200000000.0,,
Baby Driver,2017.0,34000000.0,,
Only the Brave,2017.0,38000000.0,,
Bridge of Spies,2015.0,40000000.0,,
Incredibles 2,2018.0,200000000.0,,
Moana,2016.0,150000000.0,,
Sicario,2015.0,30000000.0,,
Creed,2015.0,37000000.0,,
Leviafan,2014.0,4000000.0,,
Hell or High Water,2016.0,12000000.0,,
Philomena,2013.0,12000000.0,,
Dawn of the Planet of the Apes,2014.0,170000000.0,,
El cuerpo,2012.0,,,
Serbuan maut,2011.0,1100000.0,,
End of Watch,2012.0,7000000.0,,
Kari-gurashi no Arietti,2010.0,23000000.0,,
A Star Is Born,2018.0,1200000.0,,
True Grit,2010.0,38000000.0,,
Hævnen,2010.0,15000000.0,,
Despicable Me,2010.0,69000000.0,,
50/50,2011.0,,,
Kick-Ass,2010.0,28000000.0,,
Celda 211,2009.0,5700000.0,,
Moneyball,2011.0,50000000.0,,
La piel que habito,2011.0,13000000.0,,
Zombieland,2009.0,23600000.0,,
Die Welle,2008.0,7500000.0,,
Sherlock Holmes,2009.0,,,
The Blind Side,2009.0,29000000.0,,
The Visitor,2007.0,,,
Seven Pounds,2008.0,55000000.0,,
Eastern Promises,2007.0,51500000.0,,
Stardust,2007.0,70000000.0,,
The Secret of Kells,2009.0,8000000.0,,
Inside Man,2006.0,45000000.0,,
Gone Baby Gone,2007.0,,,
La Vie En Rose,2007.0,25000000.0,,
Huo Yuan Jia,2006.0,,,
The Illusionist,2006.0,16500000.0,,
Dead Man's Shoes,2004.0,,,
Harry Potter and the Half-Blood Prince,2009.0,250000000.0,,
300,2006.0,65000000.0,,
Match Point,2005.0,15000000.0,,
Watchmen,2009.0,130000000.0,,
Lord of War,2005.0,50000000.0,,
Saw,2004.0,1200000.0,,
"Synecdoche, New York",2008.0,20000000.0,,
Mysterious Skin,2004.0,3000000.0,,
Jeux d'enfants,2003.0,,,
Un long dimanche de fiançailles,2004.0,47000000.0,,
The Station Agent,2003.0,500000.0,,
21 Grams,2003.0,20000000.0,,
Boksuneun naui geot,2002.0,4000000.0,,
Finding Neverland,2004.0,25000000.0,,
25th Hour,2002.0,,,
The Butterfly Effect,2004.0,13000000.0,,
28 Days Later...,2002.0,8000000.0,,
Batoru rowaiaru,2000.0,,,
The Royal Tenenbaums,2001.0,21000000.0,,
Y tu mamá también,2001.0,5000000.0,,
Harry Potter and the Sorcerer's Stone,2001.0,125000000.0,,
The Others,2001.0,17000000.0,,
Blow,2001.0,53000000.0,,
Enemy at the Gates,2001.0,68000000.0,,
Minority Report,2002.0,102000000.0,,
The Hurricane,1999.0,50000000.0,,
American Psycho,2000.0,7000000.0,,
Lola rennt,1998.0,1530000.0,,
The Thin Red Line,1998.0,,,
Mulan,1998.0,90000000.0,,
Fear and Loathing in Las Vegas,1998.0,18500000.0,,
Funny Games,1997.0,15000000.0,,
Dark City,1998.0,27000000.0,,
Sleepers,1996.0,44000000.0,,
Lost Highway,1997.0,15000000.0,,
Sense and Sensibility,1995.0,,,
Die Hard: With a Vengeance,1995.0,90000000.0,,
Dead Man,1995.0,9000000.0,,
The Bridges of Madison County,1995.0,24000000.0,,
Apollo 13,,52000000.0,,
Trois couleurs: Blanc,1994.0,,,
Falling Down,1993.0,,,
Dazed and Confused,1993.0,6900000.0,,
My Cousin Vinny,1992.0,11000000.0,,
Omohide poro poro,1991.0,,,
Delicatessen,1991.0,4000000.0,,
Home Alone,1990.0,1000000.0,,
The Godfather: Part III,1990.0,54000000.0,,
When Harry Met Sally...,1989.0,16000000.0,,
The Little Mermaid,1989.0,297000000.0,,
The Naked Gun: From the Files of Police Squad!,1988.0,12000000.0,,
"Planes, Trains & Automobiles",1987.0,15000000.0,,
Lethal Weapon,1987.0,15000000.0,,
Blood Simple,1984.0,1500000.0,,
On Golden Pond,1981.0,,,
Mad Max 2,1981.0,2000000.0,,
The Warriors,1979.0,4000000.0,,
The Muppet Movie,1979.0,8000000.0,,
Escape from Alcatraz,1979.0,8000000.0,,
Watership Down,1978.0,1000000.0,,
Midnight Express,1978.0,2300000.0,,
Close Encounters of the Third Kind,1977.0,20000000.0,,
The Long Goodbye,1973.0,,,
Giù la testa,1971.0,,,
Kelly's Heroes,1970.0,4000000.0,,
The Jungle Book,1967.0,4000000.0,,
Blowup,1966.0,1800000.0,,
A Hard Day's Night,1964.0,560000.0,,
Breakfast at Tiffany's,1961.0,2500000.0,,
Giant,1956.0,5400000.0,,
From Here to Eternity,1953.0,1650000.0,,
Lifeboat,1944.0,1590000.0,,
The 39 Steps,1935.0,,,
